epoch,train_loss,train_pr_auc,val_loss,val_pr_auc
1,0.3909717862576706,0.790588799982107,0.3670948910376473,0.8130050090538424
2,0.2300255120018946,0.9163283791211774,0.38878797844959495,0.8339346307034579
3,0.18714506779126314,0.9418087307585036,0.3892349626659777,0.854098515800481
4,0.16247046520742006,0.9499131088906128,0.39033242150077097,0.8545278815842638
5,0.14176141806043116,0.9605591077187716,0.34206695502041273,0.8475187956644743
6,0.12214270978980778,0.9657707301293564,0.3899727813937685,0.8743324607890441
7,0.10763601370495035,0.9709547104206614,0.3969256643111884,0.8682220128093392
8,0.09245192966749062,0.9773375227475327,0.57343841634678,0.8565801910245858
9,0.08753402437902713,0.979903736487092,0.554434242196043,0.8689539600061174
10,0.08064953320579514,0.9830397881211663,0.6787445061120195,0.7770018807968362
11,0.07561065026462675,0.9837964007702,0.9851218488168714,0.7913636558633161
