trial_idx,trial_tag,lr,dropout,best_val_pr_auc,test_roc_auc_default,test_pr_auc_default,test_f1_default,tn_default,fp_default,fn_default,tp_default,test_roc_auc_tuned,test_pr_auc_tuned,test_precision_tuned,test_recall_tuned,test_f1_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,tuned_threshold,completed_at
0,dropout0p3_lr3e-04,0.0003,0.3,0.9867570769181445,0.9977023629700597,0.9691337434924702,0.94375,553522,52,182,1963,0.9977023629700597,0.9691337434924702,0.9135135135135135,0.9454545454545454,0.9292096219931272,553382,192,117,2028,0.027724750339984894,2026-05-09T17:36:29+00:00
1,dropout0p3_lr0p001,0.001,0.3,0.9791426333226292,0.9986204614198342,0.9729075102605534,0.9420849420849421,553527,47,193,1952,0.9986204614198342,0.9729075102605534,0.9321329639889196,0.9412587412587412,0.9366736256089074,553427,147,126,2019,0.1985689252614975,2026-05-09T17:58:56+00:00
2,dropout0p3_lr0p003,0.003,0.3,0.9723159216362387,0.9964458890712652,0.9541543959855658,0.9129574678536103,553521,53,299,1846,0.9964458890712652,0.9541543959855658,0.9222431668237512,0.9123543123543123,0.9172720881181158,553409,165,188,1957,0.09793082624673843,2026-05-09T18:31:28+00:00
3,dropout0p5_lr3e-04,0.0003,0.5,0.9859775984293515,0.9980904126600998,0.9704041544252818,0.9425506555423123,553501,73,168,1977,0.9980904126600998,0.9704041544252818,0.9271217712177122,0.9370629370629371,0.9320658474379782,553416,158,135,2010,0.17196406424045563,2026-05-09T18:57:17+00:00
4,dropout0p5_lr0p001,0.001,0.5,0.9804188784768249,0.9982743064746555,0.9643010340017953,0.941432720232333,553532,42,200,1945,0.9982743064746555,0.9643010340017953,0.9234317343173432,0.9333333333333333,0.9283561326223047,553408,166,143,2002,0.09492500126361847,2026-05-09T19:14:39+00:00
5,dropout0p5_lr0p003,0.003,0.5,0.9686091508717366,0.9962788128641293,0.9481089580548183,0.9160342717258262,553505,69,274,1871,0.9962788128641293,0.9481089580548183,0.9073467477772579,0.903962703962704,0.9056515646893974,553376,198,206,1939,0.07370856404304504,2026-05-09T20:36:42+00:00
