epoch,train_loss,train_pr_auc,val_loss,val_pr_auc
1,0.34079020077863525,0.8220775119499658,0.353208990432942,0.8284255145640599
2,0.22021379389706924,0.9098629956875711,0.392099397699172,0.8357599100333901
3,0.2021081851086471,0.9297566649677266,0.34666070467744475,0.8502224514334116
4,0.18646196634014414,0.938156680082572,0.6154653441059066,0.8253441233760406
5,0.17470455412231184,0.9467740088073456,0.39621681164387945,0.8363593859790535
6,0.1701639000854476,0.9501776315668007,0.35122616595490463,0.8876728476896675
7,0.164164538209603,0.9535143111208129,0.4052843921379222,0.8852627698785052
8,0.1562131343200259,0.9579533914587474,0.6969361487431177,0.845349038549447
9,0.15869132477870823,0.9635057333493229,0.4806131654013917,0.8520454207019172
10,0.1382602366233653,0.9574960467643542,0.42275303005434917,0.8565696088321997
11,0.150485751079884,0.9636421766165915,0.4816564051280987,0.8640087206251347
