epoch,train_loss,train_pr_auc,val_loss,val_pr_auc
1,0.4784843453693838,0.7233076291470416,0.4206051064422591,0.785318096318358
2,0.3482614290692238,0.8627509513176643,0.38421495259061184,0.810717754656841
3,0.29706745875404383,0.9003840274144044,0.4148779723016832,0.808376357300708
4,0.2676631999790881,0.9165697559424779,0.4406314845033792,0.8252037464537758
5,0.23490234872162866,0.9339012249587486,0.3408407463678316,0.8304190683123016
6,0.19978334077854465,0.9454124599107067,0.5478302709887758,0.8172728904257298
7,0.18095562517966848,0.9541077350648884,0.47630320613753385,0.8157557444744881
8,0.15891190474759015,0.9617315081153945,0.6734868199937235,0.8120846911424848
9,0.14206302280455044,0.9662766010837804,0.7350269299939863,0.8132307702471628
10,0.131174477002428,0.9713182534189589,0.5233385514805985,0.8287382708467288
