trial_idx,trial_tag,lr,dropout,best_val_pr_auc,test_roc_auc_default,test_pr_auc_default,test_f1_default,tn_default,fp_default,fn_default,tp_default,test_roc_auc_tuned,test_pr_auc_tuned,test_precision_tuned,test_recall_tuned,test_f1_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,tuned_threshold,completed_at
0,dropout0p3_lr3e-04,0.0003,0.3,0.9709426475964636,0.9974658936571887,0.9492833963227693,0.6066725197541704,550958,2616,72,2073,0.9974658936571887,0.9492833963227693,0.8250934773577067,0.9258741258741259,0.8725834797891037,553153,421,159,1986,0.9608434438705444,2026-05-09T10:01:26+00:00
1,dropout0p3_lr0p001,0.001,0.3,0.9732150628542157,0.9968742451835949,0.9496252821213751,0.4825271927794492,549162,4412,60,2085,0.9968742451835949,0.9496252821213751,0.8633975481611208,0.9193473193473194,0.8904944682772635,553262,312,173,1972,0.9820885062217712,2026-05-09T10:13:47+00:00
2,dropout0p3_lr0p003,0.003,0.3,0.9617088920236233,0.9975577927716215,0.935176855275085,0.4426559356136821,548366,5208,55,2090,0.9975577927716215,0.935176855275085,0.749904397705545,0.9142191142191142,0.8239495798319327,552920,654,184,1961,0.9638988971710205,2026-05-09T10:22:07+00:00
3,dropout0p5_lr3e-04,0.0003,0.5,0.979614190967494,0.9973716992229422,0.9495764038867897,0.6604770289739075,551535,2039,82,2063,0.9973716992229422,0.9495764038867897,0.8869209809264306,0.9104895104895104,0.8985507246376812,553325,249,192,1953,0.9886885285377502,2026-05-09T10:34:57+00:00
4,dropout0p5_lr0p001,0.001,0.5,0.9738177970375305,0.9966292384263604,0.9490611405729127,0.6329386437029063,551274,2300,87,2058,0.9966292384263604,0.9490611405729127,0.8902439024390244,0.9188811188811189,0.9043358568479009,553331,243,174,1971,0.9818520545959473,2026-05-09T10:43:43+00:00
5,dropout0p5_lr0p003,0.003,0.5,0.944568280678477,0.9975134309053532,0.9175010753500901,0.38264372024899307,546885,6689,55,2090,0.9975134309053532,0.9175010753500901,0.7944630872483222,0.882983682983683,0.8363877235592846,553084,490,251,1894,0.9859283566474915,2026-05-09T10:50:39+00:00
