trial_idx,trial_tag,lr,dropout,best_val_pr_auc,test_roc_auc_default,test_pr_auc_default,test_f1_default,tn_default,fp_default,fn_default,tp_default,test_roc_auc_tuned,test_pr_auc_tuned,test_precision_tuned,test_recall_tuned,test_f1_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,tuned_threshold,completed_at
0,dropout0p3_lr3e-04,0.0003,0.3,0.9866985906939023,0.9980744047940123,0.9684208843467872,0.9367396593673966,553534,40,220,1925,0.9980744047940123,0.9684208843467872,0.8930928288605368,0.9463869463869464,0.9189678587596197,553331,243,115,2030,0.03417668119072914,2026-05-09T12:57:37+00:00
1,dropout0p3_lr0p001,0.001,0.3,0.9857491035226204,0.9986450863148468,0.9672756439494952,0.9392478302796529,553519,55,197,1948,0.9986450863148468,0.9672756439494952,0.9403195488721805,0.9328671328671329,0.9365785162649193,553447,127,144,2001,0.2273329645395279,2026-05-09T13:03:57+00:00
2,dropout0p3_lr0p003,0.003,0.3,0.9836441094485079,0.9980206927944718,0.9652035755472357,0.94180407371484,553537,37,203,1942,0.9980206927944718,0.9652035755472357,0.8874288217257994,0.9445221445221446,0.9150858175248419,553317,257,119,2026,0.08638246357440948,2026-05-09T13:14:04+00:00
3,dropout0p5_lr3e-04,0.0003,0.5,0.9857313433095466,0.9976442653979893,0.9679828697355749,0.9395908543922984,553516,58,193,1952,0.9976442653979893,0.9679828697355749,0.9348030018761726,0.9291375291375291,0.9319616553659107,553435,139,152,1993,0.15926647186279297,2026-05-09T13:24:39+00:00
4,dropout0p5_lr0p001,0.001,0.5,0.985655316377053,0.9974396417000296,0.9595590585852826,0.940893801057184,553515,59,187,1958,0.9974396417000296,0.9595590585852826,0.928538283062645,0.9328671328671329,0.9306976744186046,553420,154,144,2001,0.13873685896396637,2026-05-09T13:39:06+00:00
5,dropout0p5_lr0p003,0.003,0.5,0.9750943720880835,0.9981636216139642,0.9597848522270351,0.9253152279340446,553503,71,237,1908,0.9981636216139642,0.9597848522270351,0.9007773205304069,0.9184149184149184,0.9095106186518929,553357,217,175,1970,0.12433570623397827,2026-05-09T13:46:04+00:00
