epoch,train_loss,train_pr_auc,val_loss,val_pr_auc
1,0.31687224676157716,0.841871845830198,0.38919844493699257,0.8270357320899039
2,0.20467978418108293,0.9192119093171524,0.3226251627245704,0.8428307706099617
3,0.17751554178216228,0.9419503783416074,0.406781831534079,0.8549830454636747
4,0.15563066010013651,0.9493074674988476,0.3871803830779366,0.8615918359533797
5,0.14634311601564706,0.9575268119172115,0.31714003346986935,0.8496512765929021
6,0.1343218573715391,0.9601283208436941,0.4396552976446375,0.850918738538749
7,0.12398946309377414,0.9653839082224925,0.4676682897452514,0.8611641944263012
8,0.11091936720316127,0.9669939686497528,0.5906785054197423,0.8586997524239177
9,0.11248503874871014,0.9693177426561557,0.3931509756849952,0.8748047367555961
10,0.09642196596394483,0.9704102662366146,0.37439694859257855,0.8580893933072218
11,0.09662713068505703,0.9758241212907752,0.5309903111439713,0.8782104735102779
12,0.08496995721108179,0.979564430019645,0.750352621149381,0.8626329485791064
13,0.08789446913072857,0.977270888696618,0.45806175398384363,0.87707466240953
14,0.07851990485001095,0.9798001938652937,0.698216885301077,0.8516633240658195
15,0.08101333242776561,0.9805620632218477,0.5779912611597732,0.8480989226627371
16,0.08157358696562905,0.9797359663080524,0.7402159149627736,0.8504573274315418
