epoch,train_loss,train_pr_auc,val_loss,val_pr_auc
1,0.5014561360798883,0.7004386278892065,0.40383633835496147,0.7809056954261323
2,0.3637721446513936,0.8464662477995952,0.3915099078774803,0.8063281618439253
3,0.3054812761219732,0.8901168880957364,0.38747615384297074,0.808951834323322
4,0.2811786596769843,0.9093634949611946,0.4341274199697968,0.8182583472132146
5,0.24986848991658925,0.9260226939540389,0.32893515100980364,0.824109521602686
6,0.21476284816034552,0.9385128190126412,0.47840594453120333,0.8215248330102661
7,0.1974819692053635,0.9475260510386976,0.49212531649760527,0.8279662221547861
8,0.17440571749549627,0.9559294172341394,0.6859443404847111,0.8083061727804473
9,0.1606512264556659,0.9601400942793981,0.6962457180907702,0.8095814595499528
10,0.15414634331641103,0.963934506060549,0.551514553369181,0.8208428761067899
11,0.13228282108171863,0.969220282073639,0.7500844683686638,0.8063572427535277
12,0.12482039064991127,0.9726094917430949,0.8759741909236668,0.8160204406297807
