trial_idx,trial_tag,lr,dropout,best_val_pr_auc,test_roc_auc_default,test_pr_auc_default,test_f1_default,tn_default,fp_default,fn_default,tp_default,test_roc_auc_tuned,test_pr_auc_tuned,test_precision_tuned,test_recall_tuned,test_f1_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,tuned_threshold,completed_at
0,dropout0p3_lr3e-04,0.0003,0.3,0.8304190683123016,0.9853758252066338,0.8604139821184211,0.6572462519386524,551823,1751,238,1907,0.9853758252066338,0.8604139821184211,0.7709424083769634,0.8237762237762237,0.7964841108857336,553049,525,378,1767,0.975846529006958,2026-05-08T20:01:19+00:00
1,dropout0p3_lr0p001,0.001,0.3,0.8889432746363416,0.9882648782727183,0.8985395653566405,0.718963922294172,552257,1317,202,1943,0.9882648782727183,0.8985395653566405,0.8792434529582929,0.8452214452214453,0.8618968386023295,553325,249,332,1813,0.9931222796440125,2026-05-08T20:03:53+00:00
2,dropout0p3_lr0p003,0.003,0.3,0.8782104735102779,0.9894916616559974,0.9149045641784088,0.7634806307183181,552543,1031,184,1961,0.9894916616559974,0.9149045641784088,0.8408071748878924,0.8741258741258742,0.8571428571428571,553219,355,270,1875,0.9701560735702515,2026-05-08T20:07:22+00:00
3,dropout0p5_lr3e-04,0.0003,0.5,0.8279662221547861,0.9805072257602543,0.8577557072827886,0.7636211232187762,552769,805,323,1822,0.9805072257602543,0.8577557072827886,0.7888143176733781,0.8219114219114219,0.8050228310502283,553102,472,382,1763,0.8753252029418945,2026-05-08T20:10:07+00:00
4,dropout0p5_lr0p001,0.001,0.5,0.8743324607890441,0.9830108280564769,0.8878519060473403,0.7695431472081218,552689,885,250,1895,0.9830108280564769,0.8878519060473403,0.8102992957746479,0.8582750582750582,0.8335974643423137,553143,431,304,1841,0.9231191277503967,2026-05-08T20:12:42+00:00
5,dropout0p5_lr0p003,0.003,0.5,0.8876728476896675,0.9866482105436609,0.8903885647562164,0.5746454159964907,550845,2729,180,1965,0.9866482105436609,0.8903885647562164,0.7645611156685808,0.868997668997669,0.8134409775256383,553000,574,281,1864,0.9821346998214722,2026-05-08T20:15:13+00:00
