trial_idx,trial_tag,lr,dropout,best_val_pr_auc,test_roc_auc_default,test_pr_auc_default,test_f1_default,tn_default,fp_default,fn_default,tp_default,test_roc_auc_tuned,test_pr_auc_tuned,test_precision_tuned,test_recall_tuned,test_f1_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,tuned_threshold,completed_at
0,dropout0p3_lr3e-04,0.0003,0.3,0.8026827787712313,0.9740549419642008,0.7060228416959713,0.6843386529618609,553287,287,880,1265,0.9740549419642008,0.7060228416959713,0.6248919619706137,0.6741258741258741,0.6485759138820363,552706,868,699,1446,0.05805443227291107,2026-05-09T08:48:17+00:00
1,dropout0p3_lr0p001,0.001,0.3,0.8515013556443705,0.9863345934727539,0.8616974414459638,0.8008948545861297,553039,535,355,1790,0.9863345934727539,0.8616974414459638,0.5256019928037642,0.8853146853146853,0.6596040291767975,551860,1714,246,1899,0.14356498420238495,2026-05-09T08:50:21+00:00
2,dropout0p3_lr0p003,0.003,0.3,0.8761052584590097,0.9835539657395452,0.8941372650391384,0.8529548627268497,553254,320,312,1833,0.9835539657395452,0.8941372650391384,0.82258781680747,0.8624708624708625,0.8420573509330905,553175,399,295,1850,0.36474835872650146,2026-05-09T08:52:37+00:00
3,dropout0p5_lr3e-04,0.0003,0.5,0.7951344342376838,0.9713206981346382,0.6550930455068147,0.6184384649316277,552587,987,743,1402,0.9713206981346382,0.6550930455068147,0.45896197948098977,0.7090909090909091,0.5572449166514013,551781,1793,624,1521,0.13004623353481293,2026-05-09T08:55:27+00:00
4,dropout0p5_lr0p001,0.001,0.5,0.8434688103361814,0.9802620278316392,0.8571453180017694,0.7546309489883157,553534,40,821,1324,0.9802620278316392,0.8571453180017694,0.8846971307120085,0.7762237762237763,0.8269183014651105,553357,217,480,1665,0.012276333756744862,2026-05-09T08:58:03+00:00
5,dropout0p5_lr0p003,0.003,0.5,0.8614371016028943,0.9816254974887786,0.8614066761109967,0.7286216321749317,552463,1111,279,1866,0.9816254974887786,0.8614066761109967,0.8142127264282397,0.8172494172494172,0.8157282456956724,553174,400,392,1753,0.8400796055793762,2026-05-09T08:59:53+00:00
