epoch,train_loss,train_pr_auc,val_loss,val_pr_auc
1,0.01993844804528508,0.6222801715903142,0.00607486661226987,0.8096187907643846
2,0.006292072934253835,0.9128269511385589,0.004143048070124851,0.8780894419365672
3,0.004258381518383962,0.9499562529134399,0.004162171572748056,0.8884898355677907
4,0.0035239419022608906,0.9616731866405396,0.003507915584605196,0.9096321615548947
5,0.0031174494877115925,0.9682825938439712,0.0038018062030616083,0.8933622231643287
6,0.0026305988571568156,0.9759467597982499,0.0035565518196595497,0.9078548305185554
7,0.002308432970610004,0.9801530712597835,0.004399110743399476,0.8860200559445425
8,0.002213841106481687,0.9813121397317554,0.004932762283476539,0.8715321085518182
9,0.0017752363686409922,0.986935840768149,0.004863979266508112,0.8835620102321887
